 pressure | temperature |   density | altitude
   1.6801 |       196.0 |   0.24218 |  -14.256
   1.7074 |       197.0 |   0.24486 |  -14.737
    1.735 |       198.0 |   0.24757 |  -15.219
   1.7629 |       199.0 |   0.25028 |    -15.7
   1.7912 |       200.0 |   0.25303 |  -16.183
   1.8198 |       201.0 |   0.25579 |  -16.666
   1.8487 |       202.0 |   0.25857 |  -17.149
    1.878 |       203.0 |   0.26137 |  -17.633
   1.9075 |       204.0 |   0.26417 |  -18.115
   1.9375 |       205.0 |   0.26702 |    -18.6
   1.9677 |       206.0 |   0.26987 |  -19.083
   1.9983 |       207.0 |   0.27274 |  -19.568
   2.0293 |       208.0 |   0.27564 |  -20.053
   2.0606 |       209.0 |   0.27855 |  -20.538
   2.0923 |       210.0 |   0.28149 |  -21.024
   2.1243 |       211.0 |   0.28444 |   -21.51
   2.1567 |       212.0 |   0.28741 |  -21.997
   2.1894 |       213.0 |    0.2904 |  -22.483
   2.2225 |       214.0 |   0.29342 |   -22.97
   2.2559 |       215.0 |   0.29644 |  -23.456
   2.2897 |       216.0 |   0.29949 |  -23.943
   2.3239 |       217.0 |   0.30256 |  -24.431
   2.3585 |       218.0 |   0.30566 |  -24.919
   2.3934 |       219.0 |   0.30876 |  -25.407
   2.4287 |       220.0 |   0.31189 |  -25.896
   2.4644 |       221.0 |   0.31505 |  -26.385
   2.5005 |       222.0 |   0.31822 |  -26.874
   2.5369 |       223.0 |   0.32141 |  -27.363
   2.5737 |       224.0 |   0.32461 |  -27.852
    2.611 |       225.0 |   0.32785 |  -28.343
   2.6486 |       226.0 |    0.3311 |  -28.833
   2.6866 |       227.0 |   0.33437 |  -29.323
    2.725 |       228.0 |   0.33767 |  -29.814
   2.7639 |       229.0 |   0.34099 |  -30.306
   2.8031 |       230.0 |   0.34432 |  -30.797
   2.8427 |       231.0 |   0.34768 |  -31.288
   2.8828 |       232.0 |   0.35106 |  -31.781
   2.9232 |       233.0 |   0.35445 |  -32.273
   2.9641 |       234.0 |   0.35788 |  -32.766
   3.0053 |       235.0 |   0.36131 |  -33.257
    3.047 |       236.0 |   0.36477 |   -33.75
   3.0891 |       237.0 |   0.36825 |  -34.243
   3.1317 |       238.0 |   0.37176 |  -34.738
   3.1746 |       239.0 |   0.37527 |  -35.231
    3.218 |       240.0 |   0.37882 |  -35.725
   3.2619 |       241.0 |   0.38239 |   -36.22
   3.3061 |       242.0 |   0.38597 |  -36.714
   3.3508 |       243.0 |   0.38958 |  -37.208
   3.3959 |       244.0 |   0.39321 |  -37.703
   3.4415 |       245.0 |   0.39686 |  -38.198
   3.4875 |       246.0 |   0.40053 |  -38.694
    3.534 |       247.0 |   0.40423 |   -39.19
   3.5809 |       248.0 |   0.40794 |  -39.685
   3.6283 |       249.0 |   0.41168 |  -40.182
   3.6761 |       250.0 |   0.41543 |  -40.678
   3.7244 |       251.0 |   0.41922 |  -41.174
   3.7731 |       252.0 |   0.42301 |  -41.671
   3.8224 |       253.0 |   0.42685 |  -42.169
    3.872 |       254.0 |   0.43068 |  -42.665
   3.9222 |       255.0 |   0.43456 |  -43.163
   3.9728 |       256.0 |   0.43844 |   -43.66
   4.0239 |       257.0 |   0.44235 |  -44.158
   4.0754 |       258.0 |   0.44628 |  -44.656
   4.1275 |       259.0 |   0.45024 |  -45.154
     4.18 |       260.0 |   0.45421 |  -45.653
    4.233 |       261.0 |   0.45821 |  -46.151
   4.2865 |       262.0 |   0.46223 |   -46.65
   4.3405 |       263.0 |   0.46627 |  -47.149
